Survived,Sex,Age,Fare
0,male,27.0,14.4542
1,female,27.0,7.8792
1,female,18.0,8.05
1,female,27.0,7.75
0,male,2.0,23.0
1,female,22.0,13.9
0,male,27.0,7.775
1,female,27.0,52.0
0,male,27.0,8.05
0,male,25.0,26.0
0,male,25.0,7.7958
1,female,76.0,78.85
0,male,29.0,7.925
1,female,20.0,7.8542
0,male,33.0,8.05
1,female,43.0,55.4417
0,male,27.0,26.0
0,male,27.0,7.75
0,male,26.0,7.775
1,female,16.0,8.5167
0,male,28.0,22.525
0,male,21.0,7.8208
0,male,27.0,7.75
0,male,27.0,8.7125
0,male,18.5,13.0
0,male,41.0,15.0458
1,female,27.0,7.7792
1,female,36.0,31.6792
1,female,18.5,7.2833
1,female,63.0,221.7792
0,male,18.0,14.4542
0,male,27.0,6.4375
1,female,1.0,16.7
0,male,36.0,75.2417
1,female,29.0,26.0
1,female,12.0,15.75
0,male,27.0,7.75
1,female,35.0,57.75
0,male,28.0,7.25
0,male,27.0,7.75
1,female,17.0,16.1
0,male,22.0,7.7958
1,female,27.0,23.25
0,male,42.0,13.0
0,male,24.0,8.05
0,male,32.0,8.05
0,male,53.0,28.5
1,female,27.0,25.4667
0,male,27.0,6.4375
0,male,43.0,7.8958
0,male,24.0,7.8542
0,male,26.5,7.225
0,male,26.0,13.0
1,female,23.0,8.05
0,male,40.0,46.9
1,female,10.0,46.9
1,female,33.0,151.55
0,male,61.0,262.375
0,male,28.0,26.0
0,male,42.0,26.55
0,male,31.0,18.0
0,male,27.0,51.8625
0,male,22.0,8.05
0,male,27.0,26.55
0,male,30.0,26.0
1,female,23.0,83.1583
0,male,27.0,7.8958
1,female,36.0,12.1833
0,male,13.0,31.3875
0,male,24.0,7.55
1,female,29.0,221.7792
1,female,23.0,7.8542
0,male,42.0,26.55
1,female,26.0,13.775
1,female,27.0,7.7333
0,male,7.0,15.2458
1,female,26.0,13.5
0,male,27.0,7.0
0,male,41.0,13.0
1,female,26.0,22.025
0,male,48.0,50.4958
0,male,18.0,34.375
1,female,27.0,27.7208
1,female,22.0,8.9625
0,male,27.0,7.55
0,male,27.0,7.225
0,male,23.0,13.9
0,male,27.0,7.2292
0,male,40.0,31.3875
1,female,15.0,39.0
1,female,20.0,36.75
0,male,54.0,55.4417
1,female,36.0,39.0
1,female,64.0,83.1583
0,male,30.0,13.0
0,male,37.0,83.1583
1,female,18.0,53.1
0,male,27.0,7.75
1,female,27.0,247.5208
0,male,40.0,16.0
1,female,21.0,21.0
0,male,17.0,8.05
1,female,27.0,69.55
0,male,40.0,13.0
0,male,34.0,26.0
0,male,27.0,26.0
0,male,11.5,14.5
0,male,61.0,12.35
0,male,8.0,32.5
0,male,33.0,7.8542
0,male,6.0,134.5
1,female,18.0,7.775
0,male,23.0,10.5
1,female,27.0,8.1125
1,female,27.0,15.5
0,male,0.33,14.4
0,male,47.0,227.525
1,female,8.0,26.0
0,male,25.0,10.5
0,male,27.0,25.7417
1,female,35.0,7.75
0,male,24.0,10.5
1,female,33.0,27.7208
0,male,25.0,7.8958
0,male,32.0,22.525
0,male,27.0,7.05
0,male,17.0,73.5
1,female,60.0,26.0
1,female,38.0,7.775
0,male,42.0,42.5
1,female,27.0,7.8792
0,male,57.0,164.8667
1,female,50.0,211.5
0,male,27.0,8.05
1,female,30.0,13.8583
0,male,21.0,8.05
1,female,22.0,10.5
0,male,21.0,7.7958
1,female,53.0,27.4458
1,female,27.0,15.2458
0,male,23.0,7.7958
1,female,27.0,7.75
0,male,40.5,15.1
0,male,36.0,13.0
0,male,14.0,65.0
1,female,21.0,26.55
0,male,21.0,6.4958
0,male,27.0,7.8792
0,male,39.0,71.2833
0,male,20.0,7.8542
0,male,64.0,75.25
0,male,20.0,7.225
1,female,18.0,13.0
1,female,48.0,106.425
1,female,55.0,27.7208
1,female,45.0,30.0
0,male,45.0,134.5
0,male,27.0,7.8875
0,male,27.0,23.45
0,male,41.0,51.8625
1,female,22.0,21.0
0,male,42.0,32.5
1,female,29.0,26.0
1,female,27.0,14.4542
1,female,0.92,27.75
0,male,20.0,7.925
0,male,27.0,136.7792
0,male,24.0,9.325
0,male,32.5,9.5
0,male,27.0,7.55
0,male,27.0,7.75
0,male,28.0,8.05
1,female,19.0,13.0
0,male,21.0,7.775
0,male,36.5,17.4
0,male,21.0,7.8542
1,female,29.0,23.0
1,female,1.0,12.1833
0,male,30.0,12.7375
0,male,27.0,7.8958
0,male,27.0,0.0
0,male,27.0,7.55
1,female,27.0,8.05
0,male,17.0,8.6625
0,male,46.0,75.2417
0,male,27.0,7.75
1,female,26.0,136.7792
1,female,27.0,15.5
0,male,27.0,7.225
1,female,20.0,26.0
0,male,28.0,10.5
0,male,40.0,26.0
0,male,30.0,21.0
0,male,22.0,10.5
1,female,23.0,8.6625
0,male,0.75,13.775
1,female,27.0,7.75
1,female,9.0,15.2458
1,female,2.0,20.2125
0,male,36.0,7.25
0,male,27.0,7.25
0,male,24.0,82.2667
0,male,27.0,7.2292
0,male,27.0,8.05
0,male,27.0,39.6
1,female,30.0,6.95
0,male,27.0,7.2292
0,male,53.0,81.8583
0,male,36.0,9.5
0,male,26.0,7.8958
1,female,1.0,41.5792
0,male,27.0,21.6792
0,male,30.0,45.5
0,male,29.0,7.8542
0,male,32.0,7.775
0,male,27.0,15.0458
0,male,43.0,21.0
0,male,24.0,8.6625
1,female,27.0,7.75
1,female,64.0,26.55
0,male,30.0,151.55
0,male,0.83,9.35
0,male,55.0,93.5
1,female,45.0,14.1083
0,male,18.0,8.6625
0,male,22.0,7.225
0,male,27.0,7.575
1,female,37.0,7.75
1,female,55.0,135.6333
1,female,17.0,7.7333
0,male,57.0,146.5208
0,male,19.0,10.5
0,male,27.0,7.8542
0,male,22.0,31.5
0,male,26.0,7.775
0,male,25.0,7.2292
0,male,26.0,13.0
0,male,33.0,26.55
1,female,39.0,211.3375
0,male,23.0,7.05
1,female,12.0,39.0
0,male,46.0,79.2
0,male,29.0,26.0
0,male,21.0,13.0
1,female,48.0,36.75
0,male,39.0,29.7
0,male,27.0,7.225
1,female,19.0,15.7417
0,male,27.0,7.8958
0,male,30.0,26.0
0,male,32.0,13.0
0,male,39.0,7.2292
0,male,25.0,31.5
0,male,27.0,7.2292
0,male,18.0,10.5
0,male,32.0,7.5792
0,male,27.0,69.55
1,female,58.0,512.3292
0,male,27.0,14.5
1,female,16.0,7.65
0,male,26.0,13.0
1,female,38.0,7.2292
0,male,24.0,13.5
1,female,31.0,21.0
1,female,45.0,63.3583
0,male,25.0,10.5
0,male,18.0,73.5
0,male,49.0,65.0
1,female,0.17,20.575
0,male,50.0,26.0
1,female,59.0,51.4792
0,male,27.0,7.8792
0,male,27.0,7.75
1,female,30.0,15.55
0,male,14.5,69.55
1,female,24.0,37.0042
1,female,31.0,21.0
0,male,27.0,8.6625
1,female,25.0,55.4417
1,female,27.0,69.55
0,male,27.0,14.4583
1,female,22.0,39.6875
1,female,45.0,59.4
0,male,29.0,13.8583
0,male,21.0,11.5
1,female,31.0,134.5
0,male,49.0,0.0
0,male,44.0,13.0
1,female,54.0,81.8583
1,female,45.0,262.375
1,female,22.0,8.6625
0,male,21.0,11.5
0,male,55.0,50.0
0,male,5.0,31.3875
0,male,27.0,7.75
0,male,26.0,7.8792
1,female,27.0,14.5
1,female,19.0,16.1
0,male,27.0,12.875
1,female,24.0,65.0
0,male,24.0,7.775
0,male,57.0,13.0
0,male,21.0,7.75
0,male,6.0,21.075
0,male,23.0,93.5
1,female,51.0,39.4
0,male,13.0,20.25
0,male,47.0,10.5
0,male,29.0,22.025
1,female,18.0,60.0
0,male,24.0,7.25
1,female,48.0,79.2
0,male,22.0,7.775
0,male,31.0,7.7333
1,female,30.0,164.8667
0,male,38.0,21.0
1,female,22.0,59.4
0,male,17.0,47.1
0,male,43.0,27.7208
0,male,20.0,13.8625
0,male,23.0,10.5
0,male,50.0,211.5
1,female,27.0,7.7208
1,female,3.0,13.775
1,female,27.0,7.75
1,female,37.0,90.0
1,female,28.0,7.775
0,male,27.0,8.05
1,female,39.0,108.9
0,male,38.5,7.25
0,male,27.0,8.05
0,male,27.0,22.3583
